,score,length,group
0,0.0013193077174946,2,Meditron
1,0.7164402008056641,11,Meditron
2,0.0006297343643382,-22,Meditron
3,0.0008056035730987,0,Meditron
4,0.0007953465101309,-1,Meditron
5,0.9975621700286864,-18,Meditron
6,0.0096193617209792,-6,Meditron
7,0.999880313873291,-53,Meditron
8,0.0007953465101309,-1,Meditron
9,0.0002603199100121,-25,Meditron
10,0.9978836178779602,-13,Meditron
11,0.0001547360152471,-7,Meditron
12,0.0001310398365603,-4,Meditron
13,0.00033069649362,-2,Meditron
14,0.0012364488793537,-6,Meditron
15,0.0011911072069779,-33,Meditron
16,0.0005047898739576,0,Meditron
17,0.0001544777478557,-1,Meditron
18,0.0001655888627283,-28,Meditron
19,0.0027647668030112,-64,Meditron
20,0.0002397926145931,-17,Meditron
21,0.0839095562696456,-25,Meditron
22,0.032562643289566,-48,Meditron
23,0.0005888231680728,1,Meditron
24,0.0004403133934829,-3,Meditron
25,0.0001544777478557,-1,Meditron
26,0.9882591962814332,10,Meditron
27,0.0005460410029627,2,Meditron
28,0.0064871031790971,-22,Meditron
29,0.0008753031142987,-20,Meditron
30,0.0008061838452704,-18,Meditron
31,0.0002400127996224,-16,Meditron
32,0.0004190212057437,-5,Meditron
33,0.0001544777478557,-1,Meditron
34,0.0709364861249923,6,Meditron
35,0.0001544777478557,-1,Meditron
36,5.803494786960073e-05,3,Meditron
37,0.0003892552049364,-16,Meditron
38,0.002565691480413,-55,Meditron
39,0.0006694886833429,-52,Meditron
40,0.9988334774971008,-1,Meditron
41,0.0003159941697958,-19,Meditron
42,0.0002575423568487,-12,Meditron
43,0.9998192191123962,1,Meditron
44,0.0005229426315054,-52,Meditron
45,0.0006527787772938,-24,Meditron
46,0.0005549610359594,-40,Meditron
47,0.0014140900457277,2,Meditron
48,0.0003753068158403,-24,Meditron
49,0.0019139194628223,6,Meditron
50,0.0001544777478557,-1,Meditron
51,0.0003081008326262,-17,Meditron
52,0.002032347023487,-12,Meditron
53,0.0001148283845395,2,Meditron
54,9.043973841471598e-05,-6,Meditron
55,0.0003561623452696,-17,Meditron
56,0.0003912184038199,-14,Meditron
57,0.00014036790526,0,Meditron
58,0.0008694852585904,-25,Meditron
59,0.0002217349829152,-1,Meditron
60,0.999912977218628,6,Meditron
61,0.0001523431710666,-1,Meditron
62,0.0006059654406271,-8,Meditron
63,0.0426876060664653,-1,Meditron
64,0.9840653538703918,-4,Meditron
65,0.0011932250345125,-20,Meditron
66,0.0160963926464319,-23,Meditron
67,0.0446729771792888,-57,Meditron
68,8.75731639098376e-05,-45,Meditron
69,0.0002856638166122,-8,Meditron
70,0.0001528036955278,-7,Meditron
71,0.0063240928575396,-4,Meditron
72,0.0002945709275081,-23,Meditron
73,6.29892892902717e-05,8,Meditron
74,0.0004860726767219,-14,Meditron
75,0.0004792180261574,-23,Meditron
76,6.900687731103972e-05,4,Meditron
77,0.0005431938334368,-20,Meditron
78,0.0860626921057701,-5,Meditron
79,0.0006993246497586,-2,Meditron
80,9.80253316811286e-05,-2,Meditron
81,0.0022085532546043,-50,Meditron
82,0.0014707408845424,-17,Meditron
83,0.0001060577997122,-4,Meditron
84,0.00053845992079,8,Meditron
85,0.0009279386140406,-71,Meditron
86,0.0001947206037584,-25,Meditron
87,0.9758894443511964,-21,Meditron
88,0.0003404993040021,-15,Meditron
89,0.000302964966977,-1,Meditron
90,0.0002175846602767,-2,Meditron
91,0.0012854690430685,-2,Meditron
92,4.7075733164092526e-05,3,Meditron
93,0.999460995197296,-51,Meditron
94,0.0001591315958648,-44,Meditron
95,0.9983125925064088,0,Meditron
96,0.0003153576690237,-10,Meditron
97,0.0092265056446194,2,Meditron
98,0.0001116803614422,5,Meditron
99,0.0011766186216846,2,Meditron
100,0.001120785716921,-10,Meditron
101,0.9685479998588562,-40,Meditron
102,0.0027561502065509,-2,Meditron
103,0.0011137631954625,-40,Meditron
104,0.0002956198586616,-22,Meditron
105,0.9999603033065796,-6,Meditron
106,0.0007437738240696,-17,Meditron
107,0.0003776592784561,-1,Meditron
108,0.0002647967194207,-24,Meditron
109,9.961287287296729e-05,-2,Meditron
110,0.0002963039150927,-23,Meditron
111,0.0001165937646874,-5,Meditron
112,0.9873950481414796,-1,Meditron
113,0.0001422038767486,-24,Meditron
114,0.0003499214944895,-39,Meditron
115,0.0001216593955177,-16,Meditron
116,0.0001544777478557,-1,Meditron
117,0.99601548910141,-53,Meditron
118,0.999382734298706,-60,Meditron
119,0.0516322590410709,4,Meditron
120,0.0003044390468858,-25,Meditron
121,0.0003682092064991,0,Meditron
122,0.8874611258506775,10,Meditron
123,0.0006249982980079,-18,Meditron
124,0.0004798230656888,1,Meditron
125,0.0001544777478557,-1,Meditron
126,0.1741549223661422,-12,Meditron
127,0.0005224868073128,-54,Meditron
128,0.0002204779302701,-1,Meditron
129,0.0005456557846628,-17,Meditron
130,0.0009441070142202,-24,Meditron
131,0.0009080304880626,-6,Meditron
132,0.0004559113876894,-22,Meditron
133,0.0004292871744837,-1,Meditron
134,0.0005734722944907,-14,Meditron
135,0.0015665276441723,-52,Meditron
136,0.999472200870514,-57,Meditron
137,0.0007198479725047,-45,Meditron
138,0.0005501085543073,-1,Meditron
139,0.0002304530207766,-21,Meditron
140,0.0003166687383782,-24,Meditron
141,0.0001871462154667,-27,Meditron
142,0.0010449475375935,-20,Meditron
143,0.0002552243822719,-18,Meditron
144,0.9995777010917664,-10,Meditron
145,0.032037504017353,0,Meditron
146,0.083609364926815,-46,Meditron
147,0.0079056397080421,7,Meditron
148,8.919827087083831e-05,0,Meditron
149,0.0013407213846221,2,Meditron
150,0.0002846323477569,-17,Meditron
151,0.9980596899986268,-57,Meditron
152,0.0002870678144972,-35,Meditron
153,0.00040546481614,-4,Meditron
154,0.0028463350608944,-15,Meditron
155,0.0007090644794516,-5,Meditron
156,0.000614320160821,-4,Meditron
157,0.0007234319346025,1,Meditron
158,0.0003701597161125,8,Meditron
159,0.000234409031691,-1,Meditron
160,0.9997944235801696,-54,Meditron
161,0.0001484098174842,1,Meditron
162,0.9701750874519348,-1,Meditron
163,0.0009927522623911,-17,Meditron
164,0.999642252922058,-18,Meditron
165,0.9995892643928528,-52,Meditron
166,0.0010495854075998,-1,Meditron
167,0.0003974227583967,-13,Meditron
168,0.000486948993057,9,Meditron
169,0.0001932793820742,-44,Meditron
170,0.0015997518785297,-18,Meditron
171,0.0015707004349678,-53,Meditron
172,0.0002462480042595,-40,Meditron
173,0.0005489073228091,-15,Meditron
174,0.0020082942210137,-4,Meditron
175,0.0060807899571955,-25,Meditron
176,0.0003084258351009,-7,Meditron
177,0.9960617423057556,-6,Meditron
178,0.0143558364361524,-7,Meditron
179,0.0001544777478557,-1,Meditron
180,0.0003219382779207,3,Meditron
181,0.0013507168041542,-47,Meditron
182,0.0005866939318366,-28,Meditron
183,0.0010665454901754,-2,Meditron
184,0.0004745953483507,4,Meditron
185,0.0001587005390319,3,Meditron
186,0.0006278451764956,-36,Meditron
187,0.0002698921598494,-8,Meditron
188,0.0306326020509004,-4,Meditron
189,0.0008104443550109,-16,Meditron
190,0.0015241431538015,7,Meditron
191,0.0005928648170083,0,Meditron
192,0.957209289073944,-49,Meditron
193,0.0025020828470587,-52,Meditron
194,0.0006035189726389,0,Meditron
195,0.0344443209469318,12,Meditron
196,0.0001423787616658,5,Meditron
197,0.0004669515765272,-18,Meditron
198,0.0002099025296047,7,Meditron
199,0.9826644062995912,-52,Meditron
200,0.5318096280097961,-11,Meditron
201,0.998855471611023,-6,Meditron
202,0.9987974166870116,-4,Meditron
203,0.0098737766966223,-55,Meditron
204,0.0084673045203089,-46,Meditron
205,0.9836403727531432,-10,Meditron
206,0.0005888236337341,-20,Meditron
207,0.0018585931975394,-18,Meditron
208,0.0003047363134101,-24,Meditron
209,0.0030973490793257,-62,Meditron
210,0.9991425275802612,4,Meditron
211,0.066285565495491,-49,Meditron
212,0.0003599218325689,-8,Meditron
